https://docs.google.com/spreadsheet/ccc?key=0An5phhxDkYDPdFR4eDNFZmNvem5BNUtMdjBXWEhzUlE,,,,,,,,,,,
,implementation and spec,,,,,,,documentation,,,
type,parse,stringify,expand,evaluate,observe,bind,assign,tutorial,observer semantics,binder semantics,syntax
,,,,,,,,,,,
literal,Y,Y,Y,Y,Y,X,X,Y,Y,X,Y
value,Y,Y,Y,Y,Y,X,X,Y,Y,X,Y
parameters,Y,Y,Y,Y,Y,X,X,Y,Y,X,Y
element,Y,Y,Y,Y,Y,X,X,Y,Y,X,Y
component,Y,Y,Y,Y,Y,X,X,Y,Y,X,Y
tuple,Y,Y,Y,Y,Y,X,X,Y,Y,X,Y
record,Y,Y,Y,Y,Y,X,X,Y,Y,X,Y
,,,,,,,,,,,
property,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
get,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
with,Y,Y,Y,Y,Y,X,X,Y,Y,Y,Y
parent,Y,Y,Y,Y,Y,X,X,Y,Y,Y,Y
has,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
if,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
default,Y,Y,Y,Y,Y,X,X,Y,Y,Y,Y
defined,Y,Y,Y,Y,Y,X,X,Y,Y,Y,Y
,,,,,,,,,,,
mapBlock,Y,Y,Y,Y,Y,X,X,Y,Y,X,Y
filterBlock,Y,Y,Y,Y,Y,X,X,Y,Y,X,Y
sortedBlock,Y,Y,Y,Y,Y,X,X,Y,Y,X,Y
sortedSetBlock,Y,Y,Y,Y,Y,X,X,Y,Y,X,Y
groupBlock,Y,Y,Y,Y,Y,X,X,Y,Y,X,Y
groupMapBlock,Y,Y,Y,Y,Y,X,X,Y,Y,X,Y
mapContent,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
rangeContent,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
someBlock,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
everyBlock,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,,,,,,,,,,
entries,Y,Y,Y,Y,Y,X,X,Y,Y,X,Y
values,Y,Y,Y,Y,Y,X,X,Y,Y,X,Y
keys,Y,Y,Y,Y,Y,X,X,Y,Y,X,Y
,,,,,,,,,,,
enumerate,Y,Y,Y,Y,Y,X,X,Y,Y,X,Y
reversed,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
